year,event_date_start,event_date_end,province,municipality,commodity,disaster_type_raw,disaster_category,disaster_name,area_partially_damaged_ha,area_totally_damaged_ha,area_total_affected_ha,farmers_affected,losses_php_production_cost,losses_php_farm_gate,losses_php_grand_total,sanitation_remarks,source_row_number,error_reason
2014,2014-12-07,2014-12-08,NEGROS OCCIDENTAL,,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Ruby 2014 induced Flooding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",882,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,Dao,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,422.0,664.0,1086.0,0.0,1978800.0,33695700.0,0.0,Parsed as a single day event.,884,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,Dumalag,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,606.0,28.0,634.0,0.0,285600.0,11104400.0,0.0,Parsed as a single day event.,885,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,Dumarao,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,520.0,16.0,536.0,0.0,163200.0,8840000.0,0.0,Parsed as a single day event.,886,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,Ivisan,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,35.0,4.0,39.0,0.0,40800.0,323850.0,0.0,Parsed as a single day event.,887,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,Jamindan,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,475.0,159.0,644.0,0.0,826200.0,10399750.0,0.0,Parsed as a single day event.,888,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(475.0) + Totally(159.0) != Total(644.0).
2014,2014-12-29,2014-12-29,CAPIZ,Ma-ayon,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,825.0,61.0,886.0,0.0,622200.0,16851250.0,0.0,Parsed as a single day event.,889,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,Mambusao,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,860.0,311.0,1171.0,0.0,3172200.0,14572400.0,0.0,Parsed as a single day event.,890,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,Panay,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,55.0,566.0,621.0,0.0,571200.0,31063250.0,0.0,Parsed as a single day event.,891,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,Panitan,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,774.0,116.0,890.0,0.0,1183200.0,12919150.0,0.0,Parsed as a single day event.,892,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,Pilar,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,350.0,30.0,380.0,0.0,153000.0,6063900.0,0.0,Parsed as a single day event.,893,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,Pontevedra,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,126.0,465.0,591.0,0.0,2244000.0,15618750.0,0.0,Parsed as a single day event.,894,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,President Roxas,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,33.0,4.0,37.0,0.0,40800.0,385900.0,0.0,Parsed as a single day event.,895,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,City of Roxas,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,286.0,119.0,405.0,0.0,357000.0,10170250.0,0.0,Parsed as a single day event.,896,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,Sapian,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,20.0,42.0,62.0,0.0,428400.0,267750.0,0.0,Parsed as a single day event.,897,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,Sigma,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,328.0,1028.0,1356.0,0.0,5640600.0,30488650.0,0.0,Parsed as a single day event.,898,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,Tapaz,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,713.0,80.0,793.0,0.0,816000.0,8035050.0,0.0,Parsed as a single day event.,899,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,CAPIZ,Cuartero,Corn,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,40.0,0.0,55.0,15.0,0.0,1476000.0,3586894.74,Parsed as a single day event.,900,Area inconsistency: Partial(40.0) + Totally(0.0) != Total(55.0).
2014,2014-12-29,2014-12-29,CAPIZ,Pontevedra,Corn,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,105.0,189473.68,105.0,0.0,189473.68,1404000.0,0.0,Parsed as a single day event.,901,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(105.0) + Totally(189473.68) != Total(105.0).
2014,2014-12-29,2014-12-29,CAPIZ,Jamindan,Corn,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,45.0,0.0,80.0,35.0,0.0,2379000.0,0.0,Parsed as a single day event.,902,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(45.0) + Totally(0.0) != Total(80.0).
2014,2014-12-29,2014-12-29,CAPIZ,Dumarao,Corn,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,150.0,663157.89,150.0,0.0,663157.89,0.0,0.0,Parsed as a single day event.,903,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(150.0) + Totally(663157.89) != Total(150.0).
2014,2014-12-29,2014-12-29,CAPIZ,Dumalag,Corn,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,50.0,236842.11,50.0,0.0,236842.11,0.0,0.0,Parsed as a single day event.,904,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(50.0) + Totally(236842.11) != Total(50.0).
2014,2014-12-29,2014-12-29,CAPIZ,Ma-ayon,Corn,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,246.0,1242947.37,246.0,0.0,1242947.37,0.0,0.0,Parsed as a single day event.,905,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(246.0) + Totally(1242947.37) != Total(246.0).
2014,2014-12-29,2014-12-29,CAPIZ,Sigma,Corn,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,15.0,71052.63,15.0,0.0,71052.63,0.0,0.0,Parsed as a single day event.,906,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(15.0) + Totally(71052.63) != Total(15.0).
2014,2014-12-29,2014-12-29,CAPIZ,Panitan,Corn,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,20.0,107368.42,20.0,0.0,107368.42,0.0,0.0,Parsed as a single day event.,907,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(20.0) + Totally(107368.42) != Total(20.0).
2014,2014-12-29,2014-12-29,CAPIZ,Dao,Corn,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,85.0,469736.84,85.0,0.0,469736.84,0.0,0.0,Parsed as a single day event.,908,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(85.0) + Totally(469736.84) != Total(85.0).
2014,2014-12-29,2014-12-29,CAPIZ,Tapaz,Corn,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,128.0,606315.79,128.0,0.0,606315.79,0.0,0.0,Parsed as a single day event.,909,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(128.0) + Totally(606315.79) != Total(128.0).
2014,2014-12-29,2014-12-29,ILOILO,Banate,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,120.0,0.0,120.0,107.0,0.0,5263200.0,0.0,Parsed as a single day event.,911,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,ILOILO,San Rafael,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,285.0,0.0,285.0,254.0,0.0,5087250.0,0.0,Parsed as a single day event.,912,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,ILOILO,Carles,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,20.0,0.0,20.0,18.0,0.0,120000.0,0.0,Parsed as a single day event.,913,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,ILOILO,Balasan,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,40.0,0.0,40.0,36.0,0.0,1689600.0,0.0,Parsed as a single day event.,914,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,ILOILO,San Enrique,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,77.5,0.0,77.5,78.0,5130.0,1249568.0,0.0,Parsed as a single day event.,915,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,ILOILO,Cabatuan,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,5.0,0.0,5.0,5.0,0.0,100000.0,0.0,Parsed as a single day event.,916,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,ILOILO,Batad,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,17.0,0.0,17.0,17.0,2180.0,97240.0,0.0,Parsed as a single day event.,917,Missing or zero Grand Total for PHP loss.
