year,event_date_start,event_date_end,province,municipality,psgc_code,commodity,disaster_type_raw,disaster_category,disaster_name,area_partially_damaged_ha,area_totally_damaged_ha,area_total_affected_ha,farmers_affected,losses_php_production_cost,losses_php_farm_gate,losses_php_grand_total,sanitation_remarks,source_row_number,error_reason
2014,2014-07-15,2014-07-15,ANTIQUE,,,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY GLENDA 2014 INDUCED FLOODING,1430.85,1375.15,0.0,0.0,0.0,0.0,0.0,Parsed as a single day event.,869,Missing essential field (municipality).; Missing or zero Grand Total for PHP loss.
2014,2014-07-15,2014-07-15,NEGROS OCCIDENTAL,,,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY GLENDA 2014 INDUCED FLOODING,829.34,682.49,0.0,0.0,0.0,0.0,0.0,Parsed as a single day event.,870,Missing essential field (municipality).; Missing or zero Grand Total for PHP loss.
2014,2014-07-15,2014-07-15,NEGROS OCCIDENTAL,,,CORN,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY GLENDA 2014 INDUCED FLOODING,49.25,49.25,0.0,0.0,0.0,0.0,0.0,Parsed as a single day event.,871,Missing essential field (municipality).; Missing or zero Grand Total for PHP loss.
2014,2014-07-15,2014-07-15,NEGROS OCCIDENTAL,,,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY GLENDA 2014 INDUCED FLOODING,12.96,12.96,0.0,0.0,0.0,0.0,0.0,Parsed as a single day event.,872,Missing essential field (municipality).; Missing or zero Grand Total for PHP loss.
2014,2014-12-07,2014-12-08,AKLAN,,,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY RUBY 2014 INDUCED FLOODING,122.75,421.0,122.75,231.0,0.0,0.0,10412.5,"Parsed from 'Month Day-Day, Year' format.",875,Missing essential field (municipality).; Area inconsistency: Partial(122.75) + Totally(421.0) != Total(122.75).
2014,2014-12-07,2014-12-08,ANTIQUE,,,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY RUBY 2014 INDUCED FLOODING,1208.2,5712.0,1208.2,1944.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",876,Missing essential field (municipality).; Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(1208.2) + Totally(5712.0) != Total(1208.2).
2014,2014-12-07,2014-12-08,CAPIZ,,,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY RUBY 2014 INDUCED FLOODING,10607.0,26665.0,11191.0,25250.0,0.0,0.0,5956800.0,"Parsed from 'Month Day-Day, Year' format.",877,Missing essential field (municipality).; Area inconsistency: Partial(10607.0) + Totally(26665.0) != Total(11191.0).
2014,2014-12-07,2014-12-08,CAPIZ,,,CORN,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY RUBY 2014 INDUCED FLOODING,0.0,4030.0,1270.0,3801.0,0.0,0.0,5520000.0,"Parsed from 'Month Day-Day, Year' format.",878,Missing essential field (municipality).; Area inconsistency: Partial(0.0) + Totally(4030.0) != Total(1270.0).
2014,2014-12-07,2014-12-08,CAPIZ,,,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY RUBY 2014 INDUCED FLOODING,0.0,0.0,16020.0,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",879,Missing essential field (municipality).; Missing or zero Grand Total for PHP loss.
2014,2014-12-07,2014-12-08,NEGROS OCCIDENTAL,,,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY RUBY 2014 INDUCED FLOODING,241.7,231.5,0.0,0.0,0.0,0.0,80400.0,"Parsed from 'Month Day-Day, Year' format.",880,Missing essential field (municipality).
