year,event_date_start,event_date_end,province,municipality,psgc_code,commodity,disaster_type_raw,disaster_category,disaster_name,area_partially_damaged_ha,area_totally_damaged_ha,area_total_affected_ha,farmers_affected,losses_php_production_cost,losses_php_farm_gate,losses_php_grand_total,sanitation_remarks,source_row_number,error_reason
2023,2023-10-05,2024-06-05,NEGROS OCCIDENTAL,,,SUGARCANE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,LOCALIZED DRY SPELL,0.0,0.0,4705.23,2392.0,0.0,0.0,200178856.87,Parsed as a standard date range.,4152,Missing essential field (municipality).
2023,2023-10-05,2024-06-05,CAPIZ,,,SUGARCANE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,LOCALIZED DRY SPELL,0.0,0.0,963.41,809.0,0.0,0.0,13747242.71,Parsed as a standard date range.,4153,Missing essential field (municipality).
2023,2023-10-05,2024-06-05,ILOILO,,,SUGARCANE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,LOCALIZED DRY SPELL,0.0,0.0,84.63,82.0,0.0,0.0,1774015.25,Parsed as a standard date range.,4154,Missing essential field (municipality).
2023,2023-10-05,2024-06-05,AKLAN,BURUANGA,600405000,FISHERIES (AQUACULTURE),FLOODING / TYPHOON / DRY SPELL,DRY SPELL,LOCALIZED DRY SPELL,0.0,0.0,1.34,25.0,0.0,0.0,0.0,Parsed as a standard date range.,4206,Missing or zero Grand Total for PHP loss.
2023,2023-10-05,2024-06-05,ANTIQUE,LAUA-AN,600609000,FISHERIES (AQUACULTURE),FLOODING / TYPHOON / DRY SPELL,DRY SPELL,LOCALIZED DRY SPELL,0.0,0.0,0.0,96.0,0.0,0.0,0.0,Parsed as a standard date range.,4213,Missing or zero Grand Total for PHP loss.
2023,2023-10-05,2024-06-05,GUIMARAS,NUEVA VALENCIA,607903000,FISHERIES (AQUACULTURE),FLOODING / TYPHOON / DRY SPELL,DRY SPELL,LOCALIZED DRY SPELL,0.0,0.0,9.25,6.0,0.0,0.0,0.0,Parsed as a standard date range.,4227,Missing or zero Grand Total for PHP loss.
,,,NEGROS OCCIDENTAL,LA CASTELLANA,604517000,RICE,KANLAON,VOLCANIC ACTIVITIES,MT. KANLAON,150.06,39.79,189.85,294.0,1449689.5,7191078.34,8640767.84,Invalid end month name,4260,"Unparseable date: 'June 3, 2024-Present' (Invalid end month name)"
,,,NEGROS OCCIDENTAL,LA CASTELLANA,604517000,CORN,KANLAON,VOLCANIC ACTIVITIES,MT. KANLAON,15.95,24.35,45.34,129.0,999360.71,0.0,999360.71,Invalid end month name,4261,"Unparseable date: 'June 3, 2024-Present' (Invalid end month name); Area inconsistency: Partial(15.95) + Totally(24.35) != Total(45.34)."
,,,NEGROS OCCIDENTAL,CITY OF LA CARLOTA,604516000,CORN,KANLAON,VOLCANIC ACTIVITIES,MT. KANLAON,0.0,2.52,2.52,21.0,50400.0,0.0,50400.0,Invalid end month name,4262,"Unparseable date: 'June 3, 2024-Present' (Invalid end month name)"
,,,NEGROS OCCIDENTAL,LA CASTELLANA,604517000,HVC,KANLAON,VOLCANIC ACTIVITIES,MT. KANLAON,730.38,195.46,925.84,1138.0,2917200.0,177849315.0,180766515.0,Invalid end month name,4263,"Unparseable date: 'June 3, 2024-Present' (Invalid end month name)"
,,,NEGROS OCCIDENTAL,CITY OF BAGO,604502000,HVC,KANLAON,VOLCANIC ACTIVITIES,MT. KANLAON,94.0,0.0,94.0,137.0,4500.0,14257575.0,14262075.0,Invalid end month name,4264,"Unparseable date: 'June 3, 2024-Present' (Invalid end month name)"
,,,NEGROS OCCIDENTAL,CITY OF LA CARLOTA,604516000,HVC,KANLAON,VOLCANIC ACTIVITIES,MT. KANLAON,197.4,0.0,197.4,429.0,2498000.0,5955600.0,8453600.0,Invalid end month name,4265,"Unparseable date: 'June 3, 2024-Present' (Invalid end month name)"
,,,NEGROS OCCIDENTAL,LA CASTELLANA,604517000,CASSAVA,KANLAON,VOLCANIC ACTIVITIES,MT. KANLAON,17.93,0.0,17.93,22.0,152500.0,674100.0,826600.0,Invalid end month name,4266,"Unparseable date: 'June 3, 2024-Present' (Invalid end month name)"
,,,NEGROS OCCIDENTAL,CITY OF BAGO,604502000,CASSAVA,KANLAON,VOLCANIC ACTIVITIES,MT. KANLAON,1.1,0.0,1.1,2.0,1500.0,45000.0,46500.0,Invalid end month name,4267,"Unparseable date: 'June 3, 2024-Present' (Invalid end month name)"
,,,NEGROS OCCIDENTAL,CITY OF LA CARLOTA,604516000,CASSAVA,KANLAON,VOLCANIC ACTIVITIES,MT. KANLAON,8.0,0.0,8.0,17.0,0.0,144000.0,144000.0,Invalid end month name,4268,"Unparseable date: 'June 3, 2024-Present' (Invalid end month name)"
,,,NEGROS OCCIDENTAL,CITY OF BAGO,604502000,LIVESTOCK AND POULTRY,KANLAON,VOLCANIC ACTIVITIES,MT. KANLAON,0.0,3580.0,3580.0,152.0,0.0,9853448.9,9853448.9,Invalid end month name,4269,"Unparseable date: 'June 3, 2024-Present' (Invalid end month name)"
,,,NEGROS OCCIDENTAL,CITY OF LA CARLOTA,604516000,LIVESTOCK AND POULTRY,KANLAON,VOLCANIC ACTIVITIES,MT. KANLAON,0.0,21.0,21.0,3.0,0.0,214350.2,214350.2,Invalid end month name,4270,"Unparseable date: 'June 3, 2024-Present' (Invalid end month name)"
,,,NEGROS OCCIDENTAL,LA CASTELLANA,604517000,LIVESTOCK AND POULTRY,KANLAON,VOLCANIC ACTIVITIES,MT. KANLAON,0.0,12764.0,12764.0,1269.0,0.0,14490181.65,14490181.65,Invalid end month name,4271,"Unparseable date: 'June 3, 2024-Present' (Invalid end month name)"
,,,NEGROS OCCIDENTAL,LA CASTELLANA,604517000,FISHERIES (AQUACULTURE),KANLAON,VOLCANIC ACTIVITIES,MT. KANLAON,0.0,13690.0,13690.0,35.0,0.0,960750.0,960750.0,Invalid end month name,4272,"Unparseable date: 'June 3, 2024-Present' (Invalid end month name)"
2024,2024-07-17,2024-07-25,GUIMARAS,SAN JOSE,,RICE,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,SOUTHWEST MONSOON/LPA INDUCED FLOODING,2.5,2.25,4.75,6.0,54000.0,8000.0,62000.0,"Parsed from 'Month Day-Day, Year' format.",4328,PSGC code not found for province/municipality: 'GUIMARAS' / 'SAN JOSE'.
,,,AKLAN,MALINAO,600413000,RICE,PEST INFESTATION,INSECT INFESTATION,HOPPER BURN,106.21,0.0,106.21,220.0,0.0,1923221.9,1923221.9,,4370,Unparseable date: 'nan'
2024,2024-09-13,2024-09-20,AKLAN,BALETE,600402000,CASSAVA,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,SOUTHWEST MONSOON/STS BEBINCA 2024 INDUCED FLOODING,0.2,0.0,0.15,2.0,812.5,7200.0,8012.5,"Parsed from 'Month Day-Day, Year' format.",4540,Area inconsistency: Partial(0.2) + Totally(0.0) != Total(0.15).
2024,2024-10-21,2024-10-28,ILOILO,MIAGAO,603030000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,142.16,89.33,231.48,453.0,13428.57,14308625.0,14322053.57,"Parsed from 'Month Day-Day, Year' format.",4647,Area inconsistency: Partial(142.16) + Totally(89.33) != Total(231.48).
2024,2024-10-21,2024-10-28,NEGROS OCCIDENTAL,HINOBA-AN,604512000,FISHERIES,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,0.0,0.0,0.0,6.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",4831,Missing or zero Grand Total for PHP loss.
2024,2024-10-21,2024-10-28,NEGROS OCCIDENTAL,MANAPLA,604518000,FISHERIES,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,0.0,0.0,0.0,8.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",4832,Missing or zero Grand Total for PHP loss.
2024,2024-10-21,2024-10-28,NEGROS OCCIDENTAL,PONTEVEDRA,604521000,FISHERIES,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,0.0,0.0,0.0,3.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",4833,Missing or zero Grand Total for PHP loss.
2024,2024-10-21,2024-10-28,NEGROS OCCIDENTAL,CITY OF SAN CARLOS,604524000,FISHERIES,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",4836,Missing or zero Grand Total for PHP loss.
2024,2024-10-21,2024-10-28,NEGROS OCCIDENTAL,VALLADOLID,604530000,FISHERIES,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,0.0,0.0,0.0,7.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",4839,Missing or zero Grand Total for PHP loss.
2024,2024-10-21,2024-10-28,ILOILO,WESVIARC ROS,,"AGRICULTURAL INFRASTRUCTURES (FARM STRUCTURES, ROS)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,"Parsed from 'Month Day-Day, Year' format.",4848,PSGC code not found for province/municipality: 'ILOILO' / 'WESVIARC ROS'.
2024,2024-10-21,2024-10-28,ILOILO,WESVIARC ROS,,"AGRICULTURAL INFRASTRUCTURES (ROS, FARM STRUCTURES)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,"Parsed from 'Month Day-Day, Year' format.",4849,PSGC code not found for province/municipality: 'ILOILO' / 'WESVIARC ROS'.
2024,2024-10-21,2024-10-28,ILOILO,WESVIARC ROS,,"AGRICULTURAL INFRASTRUCTURES (ROS, FARM STRUCTURES)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,"Parsed from 'Month Day-Day, Year' format.",4850,PSGC code not found for province/municipality: 'ILOILO' / 'WESVIARC ROS'.
2024,2024-10-21,2024-10-28,ILOILO,WESVIARC ROS,,"AGRICULTURAL INFRASTRUCTURES (ROS, FARM STRUCTURES)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,"Parsed from 'Month Day-Day, Year' format.",4851,PSGC code not found for province/municipality: 'ILOILO' / 'WESVIARC ROS'.
2024,2024-10-21,2024-10-28,ILOILO,WESVIARC ROS,,"AGRICULTURAL INFRASTRUCTURES (ROS, FARM STRUCTURES)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,"Parsed from 'Month Day-Day, Year' format.",4852,PSGC code not found for province/municipality: 'ILOILO' / 'WESVIARC ROS'.
2024,2024-10-21,2024-10-28,ILOILO,WESVIARC ROS,,"AGRICULTURAL INFRASTRUCTURES (ROS, FARM STRUCTURES)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,"Parsed from 'Month Day-Day, Year' format.",4853,PSGC code not found for province/municipality: 'ILOILO' / 'WESVIARC ROS'.
2024,2024-10-21,2024-10-28,ILOILO,WESVIARC ROS,,"AGRICULTURAL INFRASTRUCTURES (ROS, FARM STRUCTURES)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,"Parsed from 'Month Day-Day, Year' format.",4854,PSGC code not found for province/municipality: 'ILOILO' / 'WESVIARC ROS'.
2024,2024-10-21,2024-10-28,ILOILO,WESVIARC ROS,,"AGRICULTURAL INFRASTRUCTURES (ROS, FARM STRUCTURES)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,"Parsed from 'Month Day-Day, Year' format.",4855,PSGC code not found for province/municipality: 'ILOILO' / 'WESVIARC ROS'.
2024,2024-10-21,2024-10-28,ILOILO,WESVIARC ROS,,"AGRICULTURAL INFRASTRUCTURES (ROS, FARM STRUCTURES)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS KRISTINE 2024 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,"Parsed from 'Month Day-Day, Year' format.",4856,PSGC code not found for province/municipality: 'ILOILO' / 'WESVIARC ROS'.
2025,2025-01-07,2025-03-30,ILOILO,TUBUNGAN,603046000,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,LOCALIZED DRY SPELL,276.78,96.11,289.58,896.0,408635.14,19980844.0,20389479.14,Parsed as a standard date range.,4919,Area inconsistency: Partial(276.78) + Totally(96.11) != Total(289.58).
2025,2025-07-16,2025-08-11,NEGROS OCCIDENTAL,ISABELA,604514000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,"CRISING, DANTE, EMONG, SOUTHWEST MONSOON (TROPICAL DEPRESSION)",97.8,100.13,197.92,383.0,9892.35,13427261.52,13437153.87,Parsed as a standard date range.,4972,Area inconsistency: Partial(97.8) + Totally(100.13) != Total(197.92).
2025,2025-07-16,2025-08-11,ILOILO,ZARRAGA,603047000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,"CRISING, DANTE, EMONG, SOUTHWEST MONSOON (TROPICAL DEPRESSION)",114.21,92.59,192.37,225.0,2475727.38,1454876.25,3930603.63,Parsed as a standard date range.,5003,Area inconsistency: Partial(114.21) + Totally(92.59) != Total(192.37).
2025,2025-07-16,2025-08-11,ILOILO,LEGANES,603026000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,"CRISING, DANTE, EMONG, SOUTHWEST MONSOON (TROPICAL DEPRESSION)",36.95,9.4,51.6,140.0,423206.0,0.0,423206.0,Parsed as a standard date range.,5008,Area inconsistency: Partial(36.95) + Totally(9.4) != Total(51.6).
2025,2025-07-16,2025-08-11,ILOILO,ZARRAGA,603047000,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,"CRISING, DANTE, EMONG, SOUTHWEST MONSOON (TROPICAL DEPRESSION)",1.21,0.6,1.8,26.0,7605.0,543295.2,550900.2,Parsed as a standard date range.,5091,Area inconsistency: Partial(1.21) + Totally(0.6) != Total(1.8).
